Product Name,Price,Stock,Product URL,Product Image URL,Date,Store Name
Placa video ASRock Radeon RX 7900 XT Phantom Gaming OC 20GB GDDR6 320-bit,"4.199,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/asrock-placa-video-asrock-radeon-rx-7900-xt-phantom-gaming-oc-20gb-gddr6-320-bit-4103662.html,https://static3.evomag.ro/img?file=products%2F4103%2F4103662%2Fplaca-video-asrock-radeon-rx-7-64a7dc0342b46.png&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video Sapphire Pulse Radeon RX 7800 XT 16GB GDDR6 256-bit,"2.955,99 Lei",In stoc depozit,https://www.evomag.ro/componente-pc-gaming-placi-video/sapphire-placa-video-sapphire-pulse-radeon-rx-7800-xt-16gb-gddr6-256-bit-4117225.html,https://static3.evomag.ro/img?file=products%2F4117%2F4117225%2Fplaca-video-sapphire-pulse-rad-64feeaa772747.PNG&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video GIGABYTE GeForce RTX 4060 Ti EAGLE OC 8GB GDDR6 128-bit DLSS 3.0,"2.299,99 Lei",In stoc depozit,https://www.evomag.ro/componente-pc-gaming-placi-video/gigabyte-placa-video-gigabyte-geforce-rtx-4060-ti-eagle-oc-8gb-gddr6-128-bit-dlss-3.0-4097275.html,https://static3.evomag.ro/img?file=products%2F4097%2F4097275%2Fplaca-video-gigabyte-geforce-r-6475b95f41f73.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video GIGABYTE GeForce RTX 4070  WINDFORCE OC 12GB GDDR6X 192-bit,"3.238,99 Lei",In stoc depozit,https://www.evomag.ro/componente-pc-gaming-placi-video/gigabyte-placa-video-gigabyte-geforce-rtx-4070-windforce-oc-12gb-gddr6x-192-bit-4087941.html,https://static3.evomag.ro/img?file=products%2F4087%2F4087941%2Fplaca-video-gigabyte-geforce-r-6437f5f832147.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
"Placa video MSI GeForce RTX 3060 VENTUS 3X OC, 12GB GDDR6, 192-bit","1.735,99 Lei",In stoc depozit,https://www.evomag.ro/componente-pc-gaming-placi-video/msi-placa-video-msi-geforce-rtx-3060-ventus-3x-oc-12gb-gddr6-192-bit-3822064.html,https://static3.evomag.ro/img?file=products%2F3822%2F3822064%2Fplaca-video-msi-geforce-rtx-30-61160e5a8d424.JPG&height=600&width=600&extend=white,2024-01-05,evoMAG
"Placa video INNO3D GeForce RTX 4070 X3 OC, 12GB GDDR6X, 192-bit","3.348,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/inno3d-placa-video-inno3d-geforce-rtx-4070-x3-oc-12gb-gddr6x-192-bit-4098976.html,https://static3.evomag.ro/img?file=products%2F4098%2F4098976%2F64802f47593dd.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video ASUS GeForce RTX 4060 Ti PRO ART OC 16GB GDDR6 128-bit DLSS 3.0,"2.999,99 Lei",In stoc depozit,https://www.evomag.ro/componente-pc-gaming-placi-video/asus-placa-video-asus-geforce-rtx-4060-ti-pro-art-oc-16gb-gddr6-128-bit-dlss-3.0-4113294.html,https://static3.evomag.ro/img?file=products%2F4113%2F4113294%2Fplaca-video-asus-geforce-rtx-4-64e882e12ca6e.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video GIGABYTE GeForce RTX 4060 Ti AERO OC 8GB GDDR6 128-bit DLSS 3.0,"2.449,99 Lei",In stoc depozit,https://www.evomag.ro/componente-pc-gaming-placi-video/gigabyte-placa-video-gigabyte-geforce-rtx-4060-ti-aero-oc-8gb-gddr6-128-bit-dlss-3.0-4097270.html,https://static3.evomag.ro/img?file=products%2F4097%2F4097270%2Fplaca-video-gigabyte-geforce-r-6475ab0c24da3.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video MSI GeForce RTX 4070 TI SUPRIM X 12GB GDDR6X DLSS 3.0,"5.365,99 Lei",In stoc depozit,https://www.evomag.ro/componente-pc-gaming-placi-video/msi-placa-video-msi-geforce-rtx-4070-ti-suprim-x-12gb-gddr6x-dlss-3.0-4074046.html,https://static3.evomag.ro/img?file=products%2F4074%2F4074046%2Fplaca-video-msi-geforce-rtx-40-63bc2d8424e60.png&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video GIGABYTE GeForce RTX 3070 EAGLE Rev 2.0 LHR 8‎GB GDDR6 256-bit,"2.764,99 Lei",In stoc depozit,https://www.evomag.ro/componente-pc-gaming-placi-video/gigabyte-placa-video-gigabyte-geforce-rtx-3070-eagle-rev-2.0-lhr-8-gb-gddr6-256-bit-3838954.html,https://static3.evomag.ro/img?file=products%2F3838%2F3838954%2F1603974589Placa+video+GIGABYTE+GeForce+RTX+3070+EAGLE++8%E2%80%8EGB+GDDR6+256-bit.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
